STN,DATE,RH_0.1mm,EV24_0.1mm,RH_mm,EV24_mm
260,1988-04-28,13,17,1.3,1.7
260,1988-04-29,0,21,0.0,2.1
260,1988-04-30,0,30,0.0,3.0
260,1988-05-01,46,26,4.6,2.6
260,1988-05-02,34,29,3.4,2.9
260,1988-05-03,69,15,6.9,1.5
260,1988-05-04,14,17,1.4,1.7
260,1988-05-05,0,20,0.0,2.0
260,1988-05-06,0,34,0.0,3.4
260,1988-05-07,0,36,0.0,3.6
260,1988-05-08,-1,17,0.0,1.7
260,1988-05-09,28,25,2.8,2.5
260,1988-05-10,24,12,2.4,1.2
260,1988-05-11,0,38,0.0,3.8
260,1988-05-12,0,43,0.0,4.3
260,1988-05-13,0,47,0.0,4.7
260,1988-05-14,0,40,0.0,4.0
260,1988-05-15,0,44,0.0,4.4
260,1988-05-16,0,39,0.0,3.9
260,1988-05-17,0,41,0.0,4.1
260,1988-05-18,-1,14,0.0,1.4
260,1988-05-19,-1,9,0.0,0.9
260,1988-05-20,12,24,1.2,2.4
260,1988-05-21,0,31,0.0,3.1
260,1988-05-22,0,37,0.0,3.7
260,1988-05-23,2,41,0.2,4.1
260,1988-05-24,21,37,2.1,3.7
260,1988-05-25,0,40,0.0,4.0
260,1988-05-26,20,29,2.0,2.9
260,1988-05-27,100,11,10.0,1.1
260,1988-05-28,5,6,0.5,0.6
260,1988-05-29,37,20,3.7,2.0
260,1988-05-30,11,23,1.1,2.3
260,1988-05-31,42,12,4.2,1.2
260,1988-06-01,-1,31,0.0,3.1
260,1988-06-02,3,22,0.3,2.2
260,1988-06-03,-1,36,0.0,3.6
260,1988-06-04,74,18,7.4,1.8
260,1988-06-05,2,30,0.2,3.0
260,1988-06-06,-1,25,0.0,2.5
260,1988-06-07,3,14,0.3,1.4
260,1988-06-08,-1,17,0.0,1.7
260,1988-06-09,1,16,0.1,1.6
260,1988-06-10,-1,12,0.0,1.2
260,1988-06-11,-1,16,0.0,1.6
260,1988-06-12,0,49,0.0,4.9
260,1988-06-13,0,51,0.0,5.1
260,1988-06-14,0,48,0.0,4.8
260,1988-06-15,-1,20,0.0,2.0
260,1988-06-16,-1,19,0.0,1.9
260,1988-06-17,0,38,0.0,3.8
260,1988-06-18,0,18,0.0,1.8
260,1988-06-19,-1,20,0.0,2.0
260,1988-06-20,-1,33,0.0,3.3
260,1988-06-21,-1,28,0.0,2.8
260,1988-06-22,12,31,1.2,3.1
260,1988-06-23,-1,20,0.0,2.0
260,1988-06-24,-1,9,0.0,0.9
260,1988-06-25,-1,19,0.0,1.9
260,1988-06-26,2,8,0.2,0.8
260,1988-06-27,-1,27,0.0,2.7
260,1988-06-28,0,24,0.0,2.4
260,1988-06-29,-1,19,0.0,1.9
260,1988-06-30,140,25,14.0,2.5
260,1988-07-01,135,14,13.5,1.4
260,1988-07-02,26,21,2.6,2.1
260,1988-07-03,213,18,21.3,1.8
260,1988-07-04,72,23,7.2,2.3
260,1988-07-05,55,14,5.5,1.4
260,1988-07-06,39,26,3.9,2.6
260,1988-07-07,42,28,4.2,2.8
260,1988-07-08,75,24,7.5,2.4
260,1988-07-09,1,30,0.1,3.0
260,1988-07-10,0,45,0.0,4.5
260,1988-07-11,14,31,1.4,3.1
260,1988-07-12,0,31,0.0,3.1
260,1988-07-13,77,7,7.7,0.7
260,1988-07-14,32,19,3.2,1.9
260,1988-07-15,67,12,6.7,1.2
260,1988-07-16,114,4,11.4,0.4
260,1988-07-17,23,12,2.3,1.2
260,1988-07-18,21,10,2.1,1.0
260,1988-07-19,0,26,0.0,2.6
260,1988-07-20,-1,15,0.0,1.5
260,1988-07-21,29,14,2.9,1.4
260,1988-07-22,122,11,12.2,1.1
260,1988-07-23,115,31,11.5,3.1
260,1988-07-24,20,34,2.0,3.4
260,1988-07-25,5,37,0.5,3.7
260,1988-07-26,71,9,7.1,0.9
260,1988-07-27,5,35,0.5,3.5
260,1988-07-28,23,25,2.3,2.5
260,1988-07-29,8,37,0.8,3.7
260,1988-07-30,-1,38,0.0,3.8
260,1988-07-31,-1,30,0.0,3.0
260,1988-08-01,0,34,0.0,3.4
260,1988-08-02,39,23,3.9,2.3
260,1988-08-03,0,37,0.0,3.7
260,1988-08-04,2,18,0.2,1.8
260,1988-08-05,0,31,0.0,3.1
260,1988-08-06,0,36,0.0,3.6
260,1988-08-07,0,38,0.0,3.8
260,1988-08-08,0,35,0.0,3.5
260,1988-08-09,0,27,0.0,2.7
260,1988-08-10,115,24,11.5,2.4
260,1988-08-11,5,27,0.5,2.7
260,1988-08-12,1,19,0.1,1.9
260,1988-08-13,-1,33,0.0,3.3
260,1988-08-14,0,39,0.0,3.9
260,1988-08-15,0,22,0.0,2.2
260,1988-08-16,0,31,0.0,3.1
260,1988-08-17,0,36,0.0,3.6
260,1988-08-18,-1,36,0.0,3.6
260,1988-08-19,20,20,2.0,2.0
260,1988-08-20,51,24,5.1,2.4
260,1988-08-21,94,14,9.4,1.4
260,1988-08-22,21,27,2.1,2.7
260,1988-08-23,0,15,0.0,1.5
260,1988-08-24,30,9,3.0,0.9
260,1988-08-25,206,19,20.6,1.9
260,1988-08-26,-1,31,0.0,3.1
260,1988-08-27,21,10,2.1,1.0
260,1988-08-28,2,25,0.2,2.5
260,1988-08-29,2,26,0.2,2.6
260,1988-08-30,-1,19,0.0,1.9
260,1988-08-31,9,21,0.9,2.1
260,1988-09-01,74,9,7.4,0.9
260,1988-09-02,2,16,0.2,1.6
260,1988-09-03,-1,12,0.0,1.2
260,1988-09-04,0,26,0.0,2.6
260,1988-09-05,115,10,11.5,1.0
260,1988-09-06,0,27,0.0,2.7
260,1988-09-07,0,30,0.0,3.0
260,1988-09-08,0,31,0.0,3.1
260,1988-09-09,0,29,0.0,2.9
260,1988-09-10,0,10,0.0,1.0
260,1988-09-11,6,10,0.6,1.0
260,1988-09-12,76,9,7.6,0.9
260,1988-09-13,77,20,7.7,2.0
260,1988-09-14,26,19,2.6,1.9
260,1988-09-15,26,15,2.6,1.5
260,1988-09-16,38,6,3.8,0.6
260,1988-09-17,3,10,0.3,1.0
260,1988-09-18,1,8,0.1,0.8
260,1988-09-19,0,12,0.0,1.2
260,1988-09-20,0,8,0.0,0.8
260,1988-09-21,0,12,0.0,1.2
260,1988-09-22,-1,16,0.0,1.6
260,1988-09-23,56,9,5.6,0.9
260,1988-09-24,177,4,17.7,0.4
260,1988-09-25,9,8,0.9,0.8
260,1988-09-26,40,4,4.0,0.4
260,1988-09-27,56,3,5.6,0.3
260,1988-09-28,45,8,4.5,0.8
260,1988-09-29,29,16,2.9,1.6
260,1988-09-30,-1,13,0.0,1.3
260,1988-10-01,0,16,0.0,1.6
260,1988-10-02,0,18,0.0,1.8
260,1988-10-03,0,11,0.0,1.1
260,1988-10-04,0,16,0.0,1.6
260,1988-10-05,28,7,2.8,0.7
260,1988-10-06,136,2,13.6,0.2
260,1988-10-07,69,8,6.9,0.8
260,1988-10-08,74,12,7.4,1.2
260,1988-10-09,166,2,16.6,0.2
260,1988-10-10,24,16,2.4,1.6
260,1988-10-11,3,8,0.3,0.8
260,1988-10-12,-1,7,0.0,0.7
260,1988-10-13,0,12,0.0,1.2
260,1988-10-14,0,15,0.0,1.5
260,1988-10-15,0,3,0.0,0.3
260,1988-10-16,-1,4,0.0,0.4
260,1988-10-17,0,5,0.0,0.5
260,1988-10-18,-1,7,0.0,0.7
260,1988-10-19,22,3,2.2,0.3
260,1988-10-20,26,4,2.6,0.4
260,1988-10-21,3,3,0.3,0.3
260,1988-10-22,0,10,0.0,1.0
260,1988-10-23,0,6,0.0,0.6
260,1988-10-24,18,3,1.8,0.3
260,1988-10-25,0,4,0.0,0.4
260,1988-10-26,0,7,0.0,0.7
260,1988-10-27,-1,8,0.0,0.8
260,1988-10-28,-1,6,0.0,0.6
260,1988-10-29,3,9,0.3,0.9
260,1988-10-30,0,6,0.0,0.6
260,1988-10-31,13,4,1.3,0.4
260,1988-11-01,1,9,0.1,0.9
260,1988-11-02,17,8,1.7,0.8
260,1988-11-03,0,8,0.0,0.8
260,1988-11-04,0,8,0.0,0.8
260,1988-11-05,0,7,0.0,0.7
260,1988-11-06,-1,4,0.0,0.4
260,1988-11-07,0,3,0.0,0.3
260,1988-11-08,0,7,0.0,0.7
260,1988-11-09,19,5,1.9,0.5
260,1988-11-10,1,2,0.1,0.2
260,1988-11-11,13,1,1.3,0.1
260,1988-11-12,141,1,14.1,0.1
260,1988-11-13,2,6,0.2,0.6
260,1988-11-14,0,4,0.0,0.4
260,1988-11-15,1,3,0.1,0.3
260,1988-11-16,0,5,0.0,0.5
260,1988-11-17,8,4,0.8,0.4
260,1988-11-18,14,2,1.4,0.2
260,1988-11-19,17,4,1.7,0.4
260,1988-11-20,23,3,2.3,0.3
260,1988-11-21,0,5,0.0,0.5
260,1988-11-22,14,3,1.4,0.3
260,1988-11-23,6,2,0.6,0.2
260,1988-11-24,-1,2,0.0,0.2
260,1988-11-25,0,3,0.0,0.3
260,1988-11-26,0,2,0.0,0.2
260,1988-11-27,1,4,0.1,0.4
260,1988-11-28,1,1,0.1,0.1
260,1988-11-29,2,4,0.2,0.4
260,1988-11-30,232,1,23.2,0.1
260,1988-12-01,27,1,2.7,0.1
260,1988-12-02,-1,1,0.0,0.1
260,1988-12-03,29,1,2.9,0.1
260,1988-12-04,93,1,9.3,0.1
260,1988-12-05,39,3,3.9,0.3
260,1988-12-06,83,3,8.3,0.3
260,1988-12-07,3,3,0.3,0.3
260,1988-12-08,25,2,2.5,0.2
260,1988-12-09,33,3,3.3,0.3
260,1988-12-10,10,2,1.0,0.2
260,1988-12-11,3,1,0.3,0.1
260,1988-12-12,11,3,1.1,0.3
260,1988-12-13,-1,1,0.0,0.1
260,1988-12-14,3,1,0.3,0.1
260,1988-12-15,27,1,2.7,0.1
260,1988-12-16,25,0,2.5,0.0
260,1988-12-17,8,3,0.8,0.3
260,1988-12-18,118,1,11.8,0.1
260,1988-12-19,105,2,10.5,0.2
260,1988-12-20,1,2,0.1,0.2
260,1988-12-21,14,1,1.4,0.1
260,1988-12-22,0,1,0.0,0.1
260,1988-12-23,8,1,0.8,0.1
260,1988-12-24,15,2,1.5,0.2
260,1988-12-25,2,2,0.2,0.2
260,1988-12-26,0,3,0.0,0.3
260,1988-12-27,19,4,1.9,0.4
260,1988-12-28,-1,1,0.0,0.1
260,1988-12-29,0,1,0.0,0.1
260,1988-12-30,-1,1,0.0,0.1
260,1988-12-31,0,1,0.0,0.1
260,1989-01-01,0,1,0.0,0.1
260,1989-01-02,0,2,0.0,0.2
260,1989-01-03,0,2,0.0,0.2
260,1989-01-04,71,1,7.1,0.1
260,1989-01-05,72,2,7.2,0.2
260,1989-01-06,26,2,2.6,0.2
260,1989-01-07,3,2,0.3,0.2
260,1989-01-08,2,1,0.2,0.1
260,1989-01-09,3,1,0.3,0.1
260,1989-01-10,33,1,3.3,0.1
260,1989-01-11,0,3,0.0,0.3
260,1989-01-12,35,1,3.5,0.1
260,1989-01-13,0,5,0.0,0.5
260,1989-01-14,13,3,1.3,0.3
260,1989-01-15,0,3,0.0,0.3
260,1989-01-16,0,1,0.0,0.1
260,1989-01-17,6,1,0.6,0.1
260,1989-01-18,-1,2,0.0,0.2
260,1989-01-19,-1,1,0.0,0.1
260,1989-01-20,-1,1,0.0,0.1
260,1989-01-21,12,2,1.2,0.2
260,1989-01-22,-1,6,0.0,0.6
260,1989-01-23,0,5,0.0,0.5
260,1989-01-24,0,1,0.0,0.1
260,1989-01-25,0,3,0.0,0.3
260,1989-01-26,0,6,0.0,0.6
260,1989-01-27,0,6,0.0,0.6
260,1989-01-28,10,7,1.0,0.7
260,1989-01-29,-1,3,0.0,0.3
260,1989-01-30,0,5,0.0,0.5
260,1989-01-31,0,2,0.0,0.2
260,1989-02-01,-1,1,0.0,0.1
260,1989-02-02,-1,1,0.0,0.1
260,1989-02-03,0,2,0.0,0.2
260,1989-02-04,0,3,0.0,0.3
260,1989-02-05,43,7,4.3,0.7
260,1989-02-06,0,6,0.0,0.6
260,1989-02-07,0,9,0.0,0.9
260,1989-02-08,0,8,0.0,0.8
260,1989-02-09,0,10,0.0,1.0
260,1989-02-10,0,8,0.0,0.8
260,1989-02-11,-1,6,0.0,0.6
260,1989-02-12,6,3,0.6,0.3
260,1989-02-13,69,7,6.9,0.7
260,1989-02-14,6,8,0.6,0.8
260,1989-02-15,20,2,2.0,0.2
260,1989-02-16,3,5,0.3,0.5
260,1989-02-17,10,5,1.0,0.5
260,1989-02-18,88,1,8.8,0.1
260,1989-02-19,47,5,4.7,0.5
260,1989-02-20,6,9,0.6,0.9
260,1989-02-21,0,10,0.0,1.0
260,1989-02-22,18,9,1.8,0.9
260,1989-02-23,7,8,0.7,0.8
260,1989-02-24,5,10,0.5,1.0
260,1989-02-25,26,7,2.6,0.7
260,1989-02-26,37,4,3.7,0.4
260,1989-02-27,43,4,4.3,0.4
260,1989-02-28,33,8,3.3,0.8
260,1989-03-01,174,2,17.4,0.2
260,1989-03-02,101,6,10.1,0.6
260,1989-03-03,11,7,1.1,0.7
260,1989-03-04,-1,8,0.0,0.8
260,1989-03-05,3,7,0.3,0.7
260,1989-03-06,0,17,0.0,1.7
260,1989-03-07,184,3,18.4,0.3
260,1989-03-08,45,10,4.5,1.0
260,1989-03-09,-1,9,0.0,0.9
260,1989-03-10,0,16,0.0,1.6
260,1989-03-11,2,8,0.2,0.8
260,1989-03-12,10,13,1.0,1.3
260,1989-03-13,5,3,0.5,0.3
260,1989-03-14,16,14,1.6,1.4
260,1989-03-15,41,9,4.1,0.9
260,1989-03-16,100,3,10.0,0.3
260,1989-03-17,172,9,17.2,0.9
260,1989-03-18,0,14,0.0,1.4
260,1989-03-19,4,3,0.4,0.3
260,1989-03-20,3,7,0.3,0.7
260,1989-03-21,54,15,5.4,1.5
260,1989-03-22,36,6,3.6,0.6
260,1989-03-23,24,14,2.4,1.4
260,1989-03-24,159,2,15.9,0.2
260,1989-03-25,0,19,0.0,1.9
260,1989-03-26,0,19,0.0,1.9
260,1989-03-27,0,26,0.0,2.6
260,1989-03-28,0,25,0.0,2.5
260,1989-03-29,0,24,0.0,2.4
260,1989-03-30,0,24,0.0,2.4
260,1989-03-31,0,22,0.0,2.2
260,1989-04-01,0,22,0.0,2.2
260,1989-04-02,0,20,0.0,2.0
260,1989-04-03,0,20,0.0,2.0
260,1989-04-04,26,4,2.6,0.4
260,1989-04-05,2,4,0.2,0.4
260,1989-04-06,82,3,8.2,0.3
260,1989-04-07,92,14,9.2,1.4
260,1989-04-08,6,19,0.6,1.9
260,1989-04-09,-1,26,0.0,2.6
260,1989-04-10,12,8,1.2,0.8
260,1989-04-11,70,15,7.0,1.5
260,1989-04-12,-1,7,0.0,0.7
260,1989-04-13,2,11,0.2,1.1
260,1989-04-14,261,2,26.1,0.2
260,1989-04-15,0,19,0.0,1.9
260,1989-04-16,-1,8,0.0,0.8
260,1989-04-17,5,24,0.5,2.4
260,1989-04-18,3,8,0.3,0.8
260,1989-04-19,66,14,6.6,1.4
260,1989-04-20,2,13,0.2,1.3
260,1989-04-21,0,19,0.0,1.9
260,1989-04-22,0,14,0.0,1.4
260,1989-04-23,44,7,4.4,0.7
260,1989-04-24,20,14,2.0,1.4
260,1989-04-25,31,7,3.1,0.7
260,1989-04-26,8,10,0.8,1.0
260,1989-04-27,0,32,0.0,3.2
260,1989-04-28,0,24,0.0,2.4
260,1989-04-29,-1,25,0.0,2.5
260,1989-04-30,0,26,0.0,2.6
260,1989-05-01,0,34,0.0,3.4
260,1989-05-02,0,27,0.0,2.7
260,1989-05-03,0,38,0.0,3.8
260,1989-05-04,0,43,0.0,4.3
260,1989-05-05,0,37,0.0,3.7
260,1989-05-06,0,28,0.0,2.8
260,1989-05-07,0,32,0.0,3.2
260,1989-05-08,0,35,0.0,3.5
260,1989-05-09,0,37,0.0,3.7
260,1989-05-10,0,41,0.0,4.1
260,1989-05-11,-1,14,0.0,1.4
260,1989-05-12,40,22,4.0,2.2
260,1989-05-13,15,25,1.5,2.5
260,1989-05-14,0,32,0.0,3.2
260,1989-05-15,0,37,0.0,3.7
260,1989-05-16,0,38,0.0,3.8
260,1989-05-17,0,41,0.0,4.1
260,1989-05-18,0,42,0.0,4.2
260,1989-05-19,0,38,0.0,3.8
260,1989-05-20,0,43,0.0,4.3
260,1989-05-21,0,45,0.0,4.5
260,1989-05-22,0,49,0.0,4.9
260,1989-05-23,0,51,0.0,5.1
260,1989-05-24,0,51,0.0,5.1
260,1989-05-25,0,50,0.0,5.0
260,1989-05-26,0,41,0.0,4.1
260,1989-05-27,0,45,0.0,4.5
260,1989-05-28,0,43,0.0,4.3
260,1989-05-29,0,44,0.0,4.4
260,1989-05-30,1,26,0.1,2.6
260,1989-05-31,-1,23,0.0,2.3
260,1989-06-01,16,18,1.6,1.8
260,1989-06-02,0,31,0.0,3.1
260,1989-06-03,132,14,13.2,1.4
260,1989-06-04,68,10,6.8,1.0
260,1989-06-05,87,29,8.7,2.9
260,1989-06-06,5,31,0.5,3.1
260,1989-06-07,95,15,9.5,1.5
260,1989-06-08,42,21,4.2,2.1
260,1989-06-09,18,20,1.8,2.0
260,1989-06-10,-1,25,0.0,2.5
260,1989-06-11,0,40,0.0,4.0
260,1989-06-12,0,50,0.0,5.0
260,1989-06-13,0,51,0.0,5.1
260,1989-06-14,0,51,0.0,5.1
260,1989-06-15,0,40,0.0,4.0
260,1989-06-16,0,50,0.0,5.0
260,1989-06-17,0,54,0.0,5.4
260,1989-06-18,0,49,0.0,4.9
260,1989-06-19,0,50,0.0,5.0
260,1989-06-20,0,54,0.0,5.4
260,1989-06-21,0,42,0.0,4.2
260,1989-06-22,9,20,0.9,2.0
260,1989-06-23,0,33,0.0,3.3
260,1989-06-24,0,38,0.0,3.8
260,1989-06-25,0,51,0.0,5.1
260,1989-06-26,1,48,0.1,4.8
260,1989-06-27,69,14,6.9,1.4
260,1989-06-28,5,35,0.5,3.5
260,1989-06-29,106,6,10.6,0.6
260,1989-06-30,-1,41,0.0,4.1
260,1989-07-01,81,9,8.1,0.9
260,1989-07-02,7,10,0.7,1.0
260,1989-07-03,0,48,0.0,4.8
260,1989-07-04,0,48,0.0,4.8
260,1989-07-05,0,48,0.0,4.8
260,1989-07-06,0,49,0.0,4.9
260,1989-07-07,1,45,0.1,4.5
260,1989-07-08,45,29,4.5,2.9
260,1989-07-09,43,18,4.3,1.8
260,1989-07-10,0,26,0.0,2.6
260,1989-07-11,0,30,0.0,3.0
260,1989-07-12,0,34,0.0,3.4
260,1989-07-13,-1,29,0.0,2.9
260,1989-07-14,-1,27,0.0,2.7
260,1989-07-15,-1,36,0.0,3.6
260,1989-07-16,-1,28,0.0,2.8
260,1989-07-17,-1,10,0.0,1.0
260,1989-07-18,1,28,0.1,2.8
260,1989-07-19,0,44,0.0,4.4
260,1989-07-20,0,44,0.0,4.4
260,1989-07-21,0,46,0.0,4.6
260,1989-07-22,-1,42,0.0,4.2
260,1989-07-23,12,27,1.2,2.7
260,1989-07-24,-1,45,0.0,4.5
260,1989-07-25,1,15,0.1,1.5
260,1989-07-26,0,33,0.0,3.3
260,1989-07-27,0,40,0.0,4.0
260,1989-07-28,0,33,0.0,3.3
260,1989-07-29,0,34,0.0,3.4
260,1989-07-30,100,10,10.0,1.0
260,1989-07-31,54,24,5.4,2.4
260,1989-08-01,68,25,6.8,2.5
260,1989-08-02,3,16,0.3,1.6
260,1989-08-03,-1,23,0.0,2.3
260,1989-08-04,0,33,0.0,3.3
260,1989-08-05,0,33,0.0,3.3
260,1989-08-06,0,37,0.0,3.7
260,1989-08-07,6,18,0.6,1.8
260,1989-08-08,23,18,2.3,1.8
260,1989-08-09,0,31,0.0,3.1
260,1989-08-10,12,33,1.2,3.3
260,1989-08-11,9,9,0.9,0.9
260,1989-08-12,5,12,0.5,1.2
260,1989-08-13,-1,35,0.0,3.5
260,1989-08-14,-1,32,0.0,3.2
260,1989-08-15,2,25,0.2,2.5
260,1989-08-16,-1,21,0.0,2.1
260,1989-08-17,-1,28,0.0,2.8
260,1989-08-18,0,33,0.0,3.3
260,1989-08-19,0,36,0.0,3.6
260,1989-08-20,0,38,0.0,3.8
260,1989-08-21,0,20,0.0,2.0
260,1989-08-22,0,29,0.0,2.9
260,1989-08-23,0,28,0.0,2.8
260,1989-08-24,-1,25,0.0,2.5
260,1989-08-25,20,15,2.0,1.5
260,1989-08-26,43,18,4.3,1.8
260,1989-08-27,101,12,10.1,1.2
260,1989-08-28,7,29,0.7,2.9
260,1989-08-29,2,25,0.2,2.5
260,1989-08-30,3,8,0.3,0.8
260,1989-08-31,46,8,4.6,0.8
260,1989-09-01,0,31,0.0,3.1
260,1989-09-02,87,11,8.7,1.1
260,1989-09-03,36,19,3.6,1.9
260,1989-09-04,0,19,0.0,1.9
260,1989-09-05,-1,17,0.0,1.7
260,1989-09-06,0,25,0.0,2.5
260,1989-09-07,0,28,0.0,2.8
260,1989-09-08,0,28,0.0,2.8
260,1989-09-09,0,23,0.0,2.3
260,1989-09-10,0,19,0.0,1.9
260,1989-09-11,-1,22,0.0,2.2
260,1989-09-12,275,22,27.5,2.2
260,1989-09-13,136,6,13.6,0.6
260,1989-09-14,69,21,6.9,2.1
260,1989-09-15,79,13,7.9,1.3
260,1989-09-16,57,14,5.7,1.4
260,1989-09-17,0,24,0.0,2.4
260,1989-09-18,0,27,0.0,2.7
260,1989-09-19,47,9,4.7,0.9
260,1989-09-20,0,26,0.0,2.6
260,1989-09-21,0,25,0.0,2.5
260,1989-09-22,0,23,0.0,2.3
260,1989-09-23,1,10,0.1,1.0
260,1989-09-24,6,20,0.6,2.0
260,1989-09-25,2,16,0.2,1.6
260,1989-09-26,21,12,2.1,1.2
260,1989-09-27,0,21,0.0,2.1
260,1989-09-28,14,8,1.4,0.8
260,1989-09-29,3,10,0.3,1.0
260,1989-09-30,-1,7,0.0,0.7
260,1989-10-01,-1,7,0.0,0.7
260,1989-10-02,-1,7,0.0,0.7
260,1989-10-03,-1,15,0.0,1.5
260,1989-10-04,0,18,0.0,1.8
260,1989-10-05,-1,19,0.0,1.9
260,1989-10-06,103,9,10.3,0.9
260,1989-10-07,87,11,8.7,1.1
260,1989-10-08,44,13,4.4,1.3
260,1989-10-09,11,8,1.1,0.8
260,1989-10-10,-1,9,0.0,0.9
260,1989-10-11,54,15,5.4,1.5
260,1989-10-12,-1,7,0.0,0.7
260,1989-10-13,85,5,8.5,0.5
260,1989-10-14,36,9,3.6,0.9
260,1989-10-15,2,11,0.2,1.1
260,1989-10-16,0,10,0.0,1.0
260,1989-10-17,0,15,0.0,1.5
260,1989-10-18,0,14,0.0,1.4
260,1989-10-19,-1,12,0.0,1.2
260,1989-10-20,86,11,8.6,1.1
260,1989-10-21,14,8,1.4,0.8
260,1989-10-22,-1,14,0.0,1.4
260,1989-10-23,20,3,2.0,0.3
260,1989-10-24,-1,13,0.0,1.3
260,1989-10-25,0,7,0.0,0.7
260,1989-10-26,9,3,0.9,0.3
260,1989-10-27,0,7,0.0,0.7
260,1989-10-28,4,4,0.4,0.4
260,1989-10-29,73,2,7.3,0.2
260,1989-10-30,77,3,7.7,0.3
260,1989-10-31,37,2,3.7,0.2
260,1989-11-01,1,6,0.1,0.6
260,1989-11-02,23,7,2.3,0.7
260,1989-11-03,0,7,0.0,0.7
260,1989-11-04,46,5,4.6,0.5
260,1989-11-05,18,4,1.8,0.4
260,1989-11-06,0,3,0.0,0.3
260,1989-11-07,0,7,0.0,0.7
260,1989-11-08,45,2,4.5,0.2
260,1989-11-09,25,7,2.5,0.7
260,1989-11-10,20,1,2.0,0.1
260,1989-11-11,0,8,0.0,0.8
260,1989-11-12,0,8,0.0,0.8
260,1989-11-13,0,6,0.0,0.6
260,1989-11-14,0,6,0.0,0.6
260,1989-11-15,0,4,0.0,0.4
260,1989-11-16,0,8,0.0,0.8
260,1989-11-17,0,6,0.0,0.6
260,1989-11-18,0,6,0.0,0.6
260,1989-11-19,0,6,0.0,0.6
260,1989-11-20,0,5,0.0,0.5
260,1989-11-21,-1,3,0.0,0.3
260,1989-11-22,-1,6,0.0,0.6
260,1989-11-23,20,3,2.0,0.3
260,1989-11-24,51,3,5.1,0.3
260,1989-11-25,-1,6,0.0,0.6
260,1989-11-26,4,1,0.4,0.1
260,1989-11-27,-1,1,0.0,0.1
260,1989-11-28,-1,6,0.0,0.6
260,1989-11-29,0,5,0.0,0.5
260,1989-11-30,0,4,0.0,0.4
260,1989-12-01,0,4,0.0,0.4
260,1989-12-02,0,4,0.0,0.4
260,1989-12-03,0,4,0.0,0.4
260,1989-12-04,-1,2,0.0,0.2
260,1989-12-05,-1,4,0.0,0.4
260,1989-12-06,1,2,0.1,0.2
260,1989-12-07,-1,3,0.0,0.3
260,1989-12-08,-1,3,0.0,0.3
260,1989-12-09,3,3,0.3,0.3
260,1989-12-10,-1,1,0.0,0.1
260,1989-12-11,-1,2,0.0,0.2
260,1989-12-12,19,0,1.9,0.0
260,1989-12-13,112,0,11.2,0.0
260,1989-12-14,190,1,19.0,0.1
260,1989-12-15,4,1,0.4,0.1
260,1989-12-16,93,1,9.3,0.1
260,1989-12-17,2,2,0.2,0.2
260,1989-12-18,48,1,4.8,0.1
260,1989-12-19,55,1,5.5,0.1
260,1989-12-20,135,0,13.5,0.0
260,1989-12-21,-1,3,0.0,0.3
260,1989-12-22,35,1,3.5,0.1
260,1989-12-23,46,3,4.6,0.3
260,1989-12-24,7,3,0.7,0.3
260,1989-12-25,2,2,0.2,0.2
260,1989-12-26,0,1,0.0,0.1
260,1989-12-27,0,2,0.0,0.2
260,1989-12-28,-1,0,0.0,0.0
260,1989-12-29,-1,1,0.0,0.1
260,1989-12-30,-1,0,0.0,0.0
260,1989-12-31,-1,0,0.0,0.0
260,1990-01-01,-1,1,0.0,0.1
260,1990-01-02,-1,1,0.0,0.1
260,1990-01-03,0,1,0.0,0.1
260,1990-01-04,1,1,0.1,0.1
260,1990-01-05,0,1,0.0,0.1
260,1990-01-06,15,3,1.5,0.3
260,1990-01-07,2,2,0.2,0.2
260,1990-01-08,-1,1,0.0,0.1
260,1990-01-09,2,1,0.2,0.1
260,1990-01-10,5,1,0.5,0.1
260,1990-01-11,2,1,0.2,0.1
260,1990-01-12,0,3,0.0,0.3
260,1990-01-13,7,0,0.7,0.0
260,1990-01-14,0,1,0.0,0.1
260,1990-01-15,29,1,2.9,0.1
260,1990-01-16,-1,2,0.0,0.2
260,1990-01-17,26,5,2.6,0.5
260,1990-01-18,0,6,0.0,0.6
260,1990-01-19,27,3,2.7,0.3
260,1990-01-20,4,5,0.4,0.5
260,1990-01-21,3,1,0.3,0.1
260,1990-01-22,6,1,0.6,0.1
260,1990-01-23,141,1,14.1,0.1
260,1990-01-24,33,3,3.3,0.3
260,1990-01-25,73,1,7.3,0.1
260,1990-01-26,33,5,3.3,0.5
260,1990-01-27,4,4,0.4,0.4
260,1990-01-28,51,2,5.1,0.2
260,1990-01-29,-1,6,0.0,0.6
260,1990-01-30,12,4,1.2,0.4
260,1990-01-31,-1,3,0.0,0.3
260,1990-02-01,-1,5,0.0,0.5
260,1990-02-02,45,6,4.5,0.6
260,1990-02-03,127,1,12.7,0.1
260,1990-02-04,0,7,0.0,0.7
260,1990-02-05,0,10,0.0,1.0
260,1990-02-06,0,9,0.0,0.9
260,1990-02-07,30,1,3.0,0.1
260,1990-02-08,98,3,9.8,0.3
260,1990-02-09,-1,7,0.0,0.7
260,1990-02-10,45,4,4.5,0.4
260,1990-02-11,74,6,7.4,0.6
260,1990-02-12,41,4,4.1,0.4
260,1990-02-13,83,5,8.3,0.5
260,1990-02-14,4,6,0.4,0.6
260,1990-02-15,94,4,9.4,0.4
